player_id,player_display_name,position,season,team,games,passing_yards,passing_tds,passing_interceptions,carries,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,sack_fumbles_lost,rushing_fumbles_lost,receiving_fumbles_lost,fantasy_points,fantasy_points_ppr,fantasy_points_per_game,fantasy_points_ppr_per_game,total_touches,opportunities,total_yards,total_tds,ppr_per_game,opportunities_per_game,touches_per_game,ppr_per_opportunity,overall_rank,position_rank
00-0033280,Christian McCaffrey,RB,2025,SF,17,0,0,0,311,1202,10,102,129,924,7,0,0,0,314.6,416.6,18.50588235294118,24.50588235294118,413,440,2126,17,24.50588235294118,25.88235294117647,24.294117647058822,0.9468181818181819,1,1
00-0039075,Puka Nacua,WR,2025,LA,16,0,0,0,10,105,1,129,166,1715,10,0,0,1,246.0,375.0,15.375,23.4375,139,176,1820,11,23.4375,11.0,8.6875,2.1306818181818183,2,1
00-0038542,Bijan Robinson,RB,2025,ATL,17,0,0,0,287,1478,7,79,103,820,4,0,2,1,291.8,370.8,17.16470588235294,21.811764705882354,366,390,2298,11,21.811764705882354,22.941176470588236,21.529411764705884,0.9507692307692308,3,2
00-0039139,Jahmyr Gibbs,RB,2025,DET,17,0,0,0,243,1223,13,77,94,616,5,0,1,0,289.90000000000003,366.90000000000003,17.05294117647059,21.582352941176474,320,337,1839,18,21.582352941176474,19.823529411764707,18.823529411764707,1.0887240356083088,4,3
00-0034857,Josh Allen,QB,2025,BUF,16,3668,25,10,112,579,14,0,0,0,0,1,2,0,364.62,364.62,22.78875,22.78875,112,112,4247,39,22.78875,7.0,7.0,3.255535714285714,5,1
00-0036223,Jonathan Taylor,RB,2025,IND,17,0,0,0,323,1585,18,46,55,378,2,0,1,0,316.3,362.3,18.605882352941176,21.311764705882354,369,378,1963,20,21.311764705882354,22.235294117647058,21.705882352941178,0.9584656084656085,6,4
00-0038543,Jaxon Smith-Njigba,WR,2025,SEA,17,0,0,0,7,36,0,119,163,1793,10,0,0,1,240.9,359.90000000000003,14.170588235294119,21.17058823529412,126,170,1829,10,21.17058823529412,10.0,7.411764705882353,2.117058823529412,7,2
00-0039851,Drake Maye,QB,2025,NE,17,4394,31,8,103,450,4,1,1,2,0,3,0,0,350.96000000000004,351.96000000000004,20.644705882352945,20.70352941176471,104,104,4846,35,20.70352941176471,6.117647058823529,6.117647058823529,3.3842307692307694,8,2
00-0026498,Matthew Stafford,QB,2025,LA,17,4707,46,8,29,1,0,0,0,0,0,2,1,0,350.38,350.38,20.610588235294117,20.610588235294117,29,29,4708,46,20.610588235294117,1.7058823529411764,1.7058823529411764,12.08206896551724,9,3
00-0036971,Trevor Lawrence,QB,2025,JAX,17,4007,29,12,82,359,9,0,0,0,0,2,1,0,338.18,338.18,19.89294117647059,19.89294117647059,82,82,4366,38,19.89294117647059,4.823529411764706,4.823529411764706,4.1241463414634145,10,4
00-0036963,Amon-Ra St. Brown,WR,2025,DET,17,0,0,0,3,9,0,117,172,1401,11,0,0,0,207.0,324.0,12.176470588235293,19.058823529411764,120,175,1410,11,19.058823529411764,10.294117647058824,7.0588235294117645,1.8514285714285714,11,3
00-0039040,De'Von Achane,RB,2025,MIA,16,0,0,0,238,1350,8,67,85,488,4,0,0,0,255.8,322.8,15.9875,20.175,305,323,1838,12,20.175,20.1875,19.0625,0.9993808049535604,12,5
00-0039918,Caleb Williams,QB,2025,CHI,17,3942,27,7,77,383,3,2,2,22,1,1,0,0,316.18,318.18,18.598823529411764,18.716470588235296,79,79,4347,31,18.716470588235296,4.647058823529412,4.647058823529412,4.027594936708861,13,5
00-0037744,Trey McBride,TE,2025,ARI,17,0,0,0,0,0,0,126,169,1239,11,0,0,0,189.9,315.90000000000003,11.170588235294119,18.582352941176474,126,169,1239,11,18.582352941176474,9.941176470588236,7.411764705882353,1.8692307692307695,14,1
00-0033077,Dak Prescott,QB,2025,DAL,17,4552,30,10,53,177,2,0,0,0,0,1,1,0,313.78,313.78,18.45764705882353,18.45764705882353,53,53,4729,32,18.45764705882353,3.1176470588235294,3.1176470588235294,5.9203773584905655,15,6
00-0036900,Ja'Marr Chase,WR,2025,CIN,16,0,0,0,3,14,0,125,185,1412,8,0,0,1,188.6,313.6,11.7875,19.6,128,188,1426,8,19.6,11.75,8.0,1.668085106382979,16,4
00-0039732,Bo Nix,QB,2025,DEN,17,3931,25,11,83,356,5,0,1,0,0,1,1,0,304.84000000000003,304.84000000000003,17.931764705882355,17.931764705882355,83,84,4287,30,17.931764705882355,4.9411764705882355,4.882352941176471,3.6290476190476193,17,7
00-0037248,James Cook,RB,2025,BUF,17,0,0,0,309,1621,12,33,40,291,2,0,3,0,269.2,302.2,15.835294117647058,17.776470588235295,342,349,1912,14,17.776470588235295,20.529411764705884,20.11764705882353,0.8659025787965615,18,6
00-0036389,Jalen Hurts,QB,2025,PHI,16,3224,25,6,105,421,8,0,0,0,0,1,2,0,301.06,301.06,18.81625,18.81625,105,105,3645,33,18.81625,6.5625,6.5625,2.867238095238095,19,8
00-0033106,Jared Goff,QB,2025,DET,17,4564,34,8,19,45,0,0,0,0,0,3,2,0,297.06,297.06,17.474117647058822,17.474117647058822,19,19,4609,34,17.474117647058822,1.1176470588235294,1.1176470588235294,15.634736842105264,20,9
00-0037247,George Pickens,WR,2025,DAL,17,0,0,0,0,0,0,93,137,1429,9,0,0,0,198.9,291.9,11.700000000000001,17.170588235294115,93,137,1429,9,17.170588235294115,8.058823529411764,5.470588235294118,2.130656934306569,21,5
00-0036355,Justin Herbert,QB,2025,LAC,16,3727,26,13,83,498,2,0,0,0,0,1,1,0,286.88,286.88,17.93,17.93,83,83,4225,28,17.93,5.1875,5.1875,3.4563855421686744,22,10
00-0033873,Patrick Mahomes,QB,2025,KC,14,3587,22,11,64,422,5,1,1,-10,0,0,0,0,284.68,285.68,20.334285714285716,20.405714285714286,65,65,3999,27,20.405714285714286,4.642857142857143,4.642857142857143,4.395076923076923,23,11
00-0038597,Chase Brown,RB,2025,CIN,17,0,0,0,232,1019,6,69,88,437,5,0,0,0,213.6,282.6,12.564705882352941,16.623529411764707,301,320,1456,11,16.623529411764707,18.823529411764707,17.705882352941178,0.883125,24,7
00-0032764,Derrick Henry,RB,2025,BAL,17,0,0,0,307,1595,16,15,21,150,0,0,3,0,264.5,279.5,15.558823529411764,16.441176470588236,322,328,1745,16,16.441176470588236,19.294117647058822,18.941176470588236,0.8521341463414634,25,8
00-0034855,Baker Mayfield,QB,2025,TB,17,3693,26,11,55,382,1,0,0,0,0,3,0,0,271.92,271.92,15.99529411764706,15.99529411764706,55,55,4075,27,15.99529411764706,3.235294117647059,3.235294117647059,4.944,26,12
00-0037239,Chris Olave,WR,2025,NO,16,0,0,1,1,-3,0,100,156,1163,9,0,0,0,168.0,268.0,10.5,16.75,101,157,1160,9,16.75,9.8125,6.3125,1.7070063694267517,27,6
00-0037840,Kyren Williams,RB,2025,LA,17,0,0,0,259,1252,10,36,50,281,3,0,2,0,227.3,263.3,13.370588235294118,15.488235294117647,295,309,1533,13,15.488235294117647,18.176470588235293,17.352941176470587,0.8521035598705502,28,9
00-0036973,Travis Etienne,RB,2025,JAX,17,0,0,0,260,1107,7,36,52,292,6,0,0,0,217.9,253.9,12.81764705882353,14.935294117647059,296,312,1399,13,14.935294117647059,18.352941176470587,17.41176470588235,0.8137820512820513,29,10
00-0040122,Ashton Jeanty,RB,2025,LV,17,0,0,0,266,975,5,55,73,346,5,0,1,0,190.10000000000002,245.1,11.182352941176472,14.41764705882353,321,339,1321,10,14.41764705882353,19.941176470588236,18.88235294117647,0.7230088495575221,30,11
00-0039064,Zay Flowers,WR,2025,BAL,17,0,0,0,10,62,1,86,118,1211,5,0,0,3,157.3,243.3,9.25294117647059,14.311764705882354,96,128,1273,6,14.311764705882354,7.529411764705882,5.647058823529412,1.90078125,31,7
00-0036997,Javonte Williams,RB,2025,DAL,16,0,0,0,252,1201,11,35,51,137,2,0,1,1,207.8,242.8,12.9875,15.175,287,303,1338,13,15.175,18.9375,17.9375,0.8013201320132014,32,12
00-0040691,Jaxson Dart,QB,2025,NYG,14,2272,15,5,86,487,9,0,0,0,0,1,1,0,241.58,241.58,17.255714285714287,17.255714285714287,86,86,2759,24,17.255714285714287,6.142857142857143,6.142857142857143,2.8090697674418608,33,13
00-0035700,Josh Jacobs,RB,2025,GB,15,0,0,0,234,929,13,36,44,282,1,0,2,0,201.10000000000002,237.1,13.406666666666668,15.806666666666667,270,278,1211,14,15.806666666666667,18.533333333333335,18.0,0.8528776978417266,34,13
00-0034869,Sam Darnold,QB,2025,SEA,17,4048,25,14,35,95,0,0,0,0,0,5,1,0,235.42,235.42,13.848235294117647,13.848235294117647,35,35,4143,25,13.848235294117647,2.0588235294117645,2.0588235294117645,6.726285714285714,35,14
00-0036264,Jordan Love,QB,2025,GB,15,3381,23,6,47,199,0,0,0,0,0,2,0,0,235.14,235.14,15.675999999999998,15.675999999999998,47,47,3580,23,15.675999999999998,3.1333333333333333,3.1333333333333333,5.002978723404255,36,15
00-0034844,Saquon Barkley,RB,2025,PHI,16,0,0,0,280,1140,7,37,50,273,2,0,0,1,195.3,232.3,12.20625,14.51875,317,330,1413,9,14.51875,20.625,19.8125,0.703939393939394,37,14
00-0036275,D'Andre Swift,RB,2025,CHI,16,0,0,0,223,1087,9,34,48,299,1,0,2,0,194.60000000000002,228.60000000000002,12.162500000000001,14.287500000000001,257,271,1386,10,14.287500000000001,16.9375,16.0625,0.8435424354243544,38,15
00-0033119,Jacoby Brissett,QB,2025,ARI,14,3366,23,8,38,168,1,0,0,0,0,4,0,0,227.44,227.44,16.245714285714286,16.245714285714286,38,38,3534,24,16.245714285714286,2.7142857142857144,2.7142857142857144,5.985263157894737,39,16
00-0023459,Aaron Rodgers,QB,2025,PIT,16,3322,24,7,21,61,1,1,1,-9,0,1,0,0,226.08,227.08,14.13,14.1925,22,22,3374,25,14.1925,1.375,1.375,10.321818181818182,40,17
00-0035710,Daniel Jones,QB,2025,IND,13,3101,19,8,45,164,5,0,0,0,0,3,0,0,226.44,226.44,17.41846153846154,17.41846153846154,45,45,3265,24,17.41846153846154,3.4615384615384617,3.4615384615384617,5.032,41,18
00-0036554,Nico Collins,WR,2025,HOU,15,0,0,0,2,15,1,71,120,1117,6,0,0,1,155.2,226.20000000000002,10.346666666666666,15.080000000000002,73,122,1132,7,15.080000000000002,8.133333333333333,4.866666666666666,1.8540983606557377,42,8
00-0031381,Davante Adams,WR,2025,LA,14,0,0,0,0,0,0,60,114,789,14,0,0,0,162.9,222.9,11.635714285714286,15.921428571428573,60,114,789,14,15.921428571428573,8.142857142857142,4.285714285714286,1.9552631578947368,43,9
00-0036919,Kenneth Gainwell,RB,2025,PIT,17,0,0,0,114,537,5,73,85,486,3,0,0,1,148.3,221.3,8.723529411764707,13.01764705882353,187,199,1023,8,13.01764705882353,11.705882352941176,11.0,1.1120603015075377,44,16
00-0038559,Michael Wilson,WR,2025,ARI,17,0,0,0,0,0,0,78,126,1006,7,0,0,0,142.6,220.6,8.388235294117647,12.976470588235294,78,126,1006,7,12.976470588235294,7.411764705882353,4.588235294117647,1.7507936507936508,45,10
00-0035676,A.J. Brown,WR,2025,PHI,15,0,0,0,0,0,0,78,121,1003,7,0,0,0,142.3,220.3,9.486666666666668,14.686666666666667,78,121,1003,7,14.686666666666667,8.066666666666666,5.2,1.8206611570247935,46,11
00-0037240,Jameson Williams,WR,2025,DET,17,0,0,0,6,12,0,65,102,1117,7,0,0,0,154.9,219.9,9.111764705882353,12.935294117647059,71,108,1129,7,12.935294117647059,6.352941176470588,4.176470588235294,2.036111111111111,47,12
00-0034348,Courtland Sutton,WR,2025,DEN,17,0,0,0,0,0,0,74,124,1017,7,0,0,0,145.70000000000002,219.70000000000002,8.57058823529412,12.923529411764706,74,124,1017,7,12.923529411764706,7.294117647058823,4.352941176470588,1.7717741935483873,48,13
00-0039150,Bryce Young,QB,2025,CAR,16,3011,23,11,54,216,2,0,0,0,0,2,2,0,218.04000000000002,218.04000000000002,13.627500000000001,13.627500000000001,54,54,3227,25,13.627500000000001,3.375,3.375,4.037777777777778,49,19
00-0038117,Wan'Dale Robinson,WR,2025,NYG,16,0,0,0,3,5,0,92,140,1014,4,0,0,0,125.9,217.9,7.86875,13.61875,95,143,1019,4,13.61875,8.9375,5.9375,1.5237762237762238,50,14
00-0037228,Jaylen Warren,RB,2025,PIT,16,0,0,0,211,958,6,40,45,333,2,0,0,0,177.1,217.1,11.06875,13.56875,251,256,1291,8,13.56875,16.0,15.6875,0.848046875,51,17
00-0036139,Rico Dowdle,RB,2025,CAR,17,0,0,0,236,1076,6,39,50,297,1,0,1,0,177.3,216.3,10.429411764705883,12.723529411764707,275,286,1373,7,12.723529411764707,16.823529411764707,16.176470588235293,0.7562937062937063,52,18
00-0034796,Lamar Jackson,QB,2025,BAL,13,2549,21,7,67,349,2,0,0,0,0,3,0,0,214.85999999999999,214.85999999999999,16.527692307692305,16.527692307692305,67,67,2898,23,16.527692307692305,5.153846153846154,5.153846153846154,3.2068656716417907,53,20
00-0040124,Tetairoa McMillan,WR,2025,CAR,17,0,0,0,0,0,0,70,122,1014,7,0,0,0,143.4,213.4,8.435294117647059,12.552941176470588,70,122,1014,7,12.552941176470588,7.176470588235294,4.117647058823529,1.7491803278688525,54,15
00-0036410,Tee Higgins,WR,2025,CIN,15,0,0,0,0,0,0,59,98,846,11,0,0,0,152.6,211.6,10.173333333333334,14.106666666666666,59,98,846,11,14.106666666666666,6.533333333333333,3.933333333333333,2.159183673469388,55,16
00-0036970,Kyle Pitts,TE,2025,ATL,17,0,0,0,0,0,0,88,118,928,5,0,0,0,122.8,210.8,7.223529411764706,12.4,88,118,928,5,12.4,6.9411764705882355,5.176470588235294,1.7864406779661017,56,2
00-0031588,Stefon Diggs,WR,2025,NE,17,0,0,0,0,0,0,85,102,1013,4,0,0,0,125.30000000000001,210.3,7.370588235294118,12.370588235294118,85,102,1013,4,12.370588235294118,6.0,5.0,2.061764705882353,57,17
00-0039163,C.J. Stroud,QB,2025,HOU,14,3041,19,8,48,209,1,0,0,0,0,0,0,0,208.54,208.54,14.895714285714286,14.895714285714286,48,48,3250,20,14.895714285714286,3.4285714285714284,3.4285714285714284,4.3445833333333335,58,21
00-0038120,Breece Hall,RB,2025,NYJ,16,4,1,0,243,1065,4,36,48,350,1,0,2,0,171.66,207.66,10.72875,12.97875,279,291,1419,6,12.97875,18.1875,17.4375,0.7136082474226804,59,19
00-0040730,RJ Harvey,RB,2025,DEN,17,0,0,0,146,540,7,47,58,356,5,0,1,0,159.6,206.6,9.388235294117647,12.152941176470588,193,204,896,12,12.152941176470588,12.0,11.352941176470589,1.0127450980392156,60,20
00-0040734,TreVeyon Henderson,RB,2025,NE,17,0,0,0,180,911,9,35,42,221,1,0,1,0,171.20000000000002,206.20000000000002,10.07058823529412,12.129411764705884,215,222,1132,10,12.129411764705884,13.058823529411764,12.647058823529411,0.9288288288288289,61,21
00-0036252,Michael Pittman,WR,2025,IND,17,0,0,0,0,0,0,80,111,784,7,0,0,0,122.4,202.4,7.2,11.905882352941177,80,111,784,7,11.905882352941177,6.529411764705882,4.705882352941177,1.8234234234234235,62,18
00-0037238,Drake London,WR,2025,ATL,12,0,0,0,0,0,0,68,112,919,7,0,0,1,133.9,201.9,11.158333333333333,16.825,68,112,919,7,16.825,9.333333333333334,5.666666666666667,1.8026785714285716,63,19
00-0036912,DeVonta Smith,WR,2025,PHI,17,0,0,0,0,0,0,77,113,1008,4,0,0,0,124.80000000000001,201.79999999999998,7.341176470588236,11.870588235294116,77,113,1008,4,11.870588235294116,6.647058823529412,4.529411764705882,1.7858407079646017,64,20
00-0036322,Justin Jefferson,WR,2025,MIN,17,0,0,0,2,7,0,84,141,1048,2,0,0,0,117.5,201.5,6.911764705882353,11.852941176470589,86,143,1055,2,11.852941176470589,8.411764705882353,5.0588235294117645,1.4090909090909092,65,21
00-0036358,CeeDee Lamb,WR,2025,DAL,13,0,0,0,1,2,0,75,117,1077,3,0,0,0,125.9,200.9,9.684615384615386,15.453846153846154,76,118,1079,3,15.453846153846154,9.076923076923077,5.846153846153846,1.702542372881356,66,22
00-0040129,Emeka Egbuka,WR,2025,TB,17,0,0,0,2,9,0,63,127,938,6,0,0,0,132.7,195.7,7.805882352941175,11.511764705882353,65,129,947,6,11.511764705882353,7.588235294117647,3.823529411764706,1.5170542635658915,67,23
00-0036613,Jaylen Waddle,WR,2025,MIA,16,8,0,0,2,28,0,64,100,910,6,0,0,0,130.12,194.12,8.1325,12.1325,66,102,946,6,12.1325,6.375,4.125,1.9031372549019607,68,24
00-0030506,Travis Kelce,TE,2025,KC,17,0,0,0,1,1,0,76,108,851,5,0,0,0,117.2,193.20000000000002,6.894117647058824,11.364705882352942,77,109,852,5,11.364705882352942,6.411764705882353,4.529411764705882,1.7724770642201837,69,3
00-0038134,Kenneth Walker III,RB,2025,SEA,17,0,0,0,221,1027,5,31,36,282,0,0,0,0,160.9,191.9,9.464705882352941,11.288235294117648,252,257,1309,5,11.288235294117648,15.117647058823529,14.823529411764707,0.7466926070038911,70,22
00-0040128,Tyler Warren,TE,2025,IND,17,0,0,0,6,8,1,76,112,817,4,0,0,0,112.5,188.5,6.617647058823529,11.088235294117647,82,118,825,5,11.088235294117647,6.9411764705882355,4.823529411764706,1.597457627118644,71,4
00-0035719,Deebo Samuel Sr.,WR,2025,WAS,16,0,0,0,17,75,1,72,99,727,5,0,0,0,116.2,188.20000000000002,7.2625,11.762500000000001,89,116,802,6,11.762500000000001,7.25,5.5625,1.6224137931034484,72,25
00-0038041,Jake Ferguson,TE,2025,DAL,17,0,0,0,1,1,0,82,102,600,8,0,0,2,106.10000000000001,188.1,6.241176470588236,11.064705882352941,83,103,601,8,11.064705882352941,6.0588235294117645,4.882352941176471,1.8262135922330096,73,5
00-0035640,DK Metcalf,WR,2025,PIT,15,0,0,0,2,12,1,59,99,850,6,0,0,0,128.20000000000002,187.2,8.546666666666669,12.479999999999999,61,101,862,7,12.479999999999999,6.733333333333333,4.066666666666666,1.8534653465346533,74,26
00-0040676,Cam Ward,QB,2025,TEN,17,3169,15,7,39,159,2,0,0,0,0,7,0,0,186.66,186.66,10.98,10.98,39,39,3328,17,10.98,2.2941176470588234,2.2941176470588234,4.786153846153846,75,22
00-0040663,Harold Fannin Jr.,TE,2025,CLE,16,0,0,0,7,13,1,72,107,731,6,0,1,0,114.4,186.4,7.15,11.65,79,114,744,7,11.65,7.125,4.9375,1.6350877192982456,76,6
