player_id,player_display_name,position,season,team,games,boom_games,solid_games,bust_games,ppr_std_dev,passing_yards,attempts,completions,passing_air_yards,passing_tds,passing_interceptions,rushing_yards,carries,rushing_tds,targets,receptions,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_yards,receiving_tds,sack_fumbles_lost,rushing_fumbles_lost,receiving_fumbles_lost,fantasy_points,fantasy_points_ppr,total_touches,opportunities,ppr_per_game,opportunities_per_game,touches_per_game,carries_per_game,targets_per_game,attempts_per_game,receptions_per_game,total_yards,total_tds,ppr_per_opportunity,completion_pct,yards_per_attempt,td_rate,int_rate,yards_per_carry,catch_rate,yards_per_target,yards_per_reception,yac_per_reception,air_yards_per_target,tds_per_game,first_downs_per_game,consistency_score,roster_name,birth_date,height,weight,college,years_exp_x,rookie_year,draft_club,draft_number,season_start,age,team_pass_attempts,team_carries,team_targets,team_ppr,team_total_opportunities,team_pass_rate,returning_targets,returning_carries,returning_attempts,vacated_targets,vacated_carries,vacated_attempts,vacated_target_pct,vacated_carry_pct,vacated_pass_pct,target_share,rush_share,opportunity_share,opportunity_score,touch_score,fantasy_score,reliability_score,boom_score,bust_score,overall_player_score,current_team,current_position,status,depth_chart_position,years_exp_y,projected_games,projected_pass_attempts,projected_carries,projected_targets,projected_pass_attempts_per_game,projected_carries_per_game,projected_targets_per_game,temporary_role_score,projection_roster_rank,projection_active,projected_team_player_targets,projected_team_targets,target_scale_factor,projected_completion_pct,projected_yards_per_attempt,projected_yards_per_carry,projected_catch_rate,projected_yards_per_target,projected_passing_td_rate,projected_rushing_td_per_carry,projected_receiving_td_per_target,projected_passing_tds,projected_rushing_tds,projected_receiving_tds,projected_completions,projected_passing_yards,projected_rushing_yards,projected_receptions,projected_receiving_yards,projected_fantasy_points_ppr,projected_ppr_per_game,role_score,team_position_rank,role_label,qb_pass_attempt_share,replacement_ppg,fantasy_war,war_rank,position_rank,value_tier,draft_value_score
00-0039075,Puka Nacua,WR,2025,LA,16,6,9,1,10.20881155342449,0,0,0,0,0,0,105,10,1,166,129,1566,666,80,1715,10,0,0,1,246.0,375.0,139,176,23.4375,11.0,8.6875,0.625,10.375,0.0,8.0625,1820,11,2.1306818181818183,0.0,0.0,0.0,0.0,10.5,0.7771084337349398,10.331325301204819,13.294573643410853,5.162790697674419,9.433734939759036,0.6875,5.0,0.5644240403872218,Puka Nacua,2001-05-29,74.0,205.0,BYU; Washington,2.0,2023.0,LAR,177.0,2025-09-01,24.26009582477755,598,465,581,1800.18,1046,0.5625587958607714,682,538,716,15,9,1,0.021520803443328552,0.016453382084095063,0.001394700139470014,0.2857142857142857,0.021505376344086023,0.1682600382409178,99.60629921259843,100.0,100.0,91.33858267716536,100.0,94.68503937007874,97.61811023622047,LA,WR,ACT,WR,3.0,16,0.0,12.058823529411764,153.309196303142,0.0,0.7536764705882353,9.960762032085562,171.43101604278075,1.0,True,603.9771004159239,581,0.9619570006874417,0.0,0.0,7.987878787878787,0.7433891225278473,9.825049443055239,0.0,0.07476635514018692,0.04836512261580381,0.0,0.9015942825728424,7.414818077331798,0.0,0.0,96.32442067736184,113.96838891524222,1506.2704337534315,324.1263485177494,20.25789678235934,165.36801983255376,1,WR1,,10.169259972266895,10.088636810092444,1,1,League Winner,60.57213244164189
00-0036900,Ja'Marr Chase,WR,2025,CIN,16,5,6,3,10.26268320989529,0,0,0,0,0,0,14,3,0,185,125,1570,640,73,1412,8,0,0,1,188.6,313.6,128,188,19.6,11.75,8.0,0.1875,11.5625,0.0,7.8125,1426,8,1.668085106382979,0.0,0.0,0.0,0.0,4.666666666666667,0.6756756756756757,7.632432432432433,11.296,5.12,8.486486486486486,0.5,4.5625,0.4763937137808526,Ja'Marr Chase,2000-03-01,72.0,205.0,LSU,4.0,2021.0,CIN,5.0,2025-09-01,25.503080082135522,640,381,608,1557.26,989,0.6268364348677767,567,372,515,41,9,125,0.06743421052631579,0.023622047244094488,0.1953125,0.3042763157894737,0.007874015748031496,0.19009100101112233,100.0,99.60629921259843,99.21259842519686,87.4015748031496,99.21259842519686,76.18110236220473,94.78346456692914,CIN,WR,ACT,WR,5.0,16,0.0,2.9470588235294115,165.09678859391246,0.0125,0.18419117647058822,10.681985294117647,174.05882352941177,1.0,True,629.41474407945,608,0.9659767358790267,0.2,-1.4,5.133333333333334,0.6934831580348821,8.421457595526562,0.0,0.0,0.0603448275862069,0.0,0.0,9.962737242736097,0.0,0.0,15.128235294117648,114.49184233552373,1390.355604301247,314.8054497514768,19.6753406094673,168.04384741744187,1,WR1,,10.169259972266895,9.506080637200403,2,2,Elite,57.36807349073567
00-0033280,Christian McCaffrey,RB,2025,SF,17,8,7,0,8.22446583282429,0,1,0,14,0,0,1202,311,10,129,102,335,720,48,924,7,0,0,0,314.6,416.6,413,440,24.50588235294118,25.88235294117647,24.294117647058822,18.294117647058822,7.588235294117647,0.058823529411764705,6.0,2126,17,0.9468181818181819,0.0,0.0,0.0,0.0,3.864951768488746,0.7906976744186046,7.162790697674419,9.058823529411764,7.0588235294117645,2.5968992248062017,1.0,2.823529411764706,0.6643880961161476,Christian McCaffrey,1996-06-07,71.0,210.0,Stanford,8.0,2017.0,CAR,8.0,2025-09-01,29.234770704996578,574,481,550,1568.22,1031,0.5440758293838862,425,435,636,182,98,1,0.29983525535420097,0.18386491557223264,0.0015698587127158557,0.23454545454545456,0.6465696465696466,0.4267701260911736,100.0,100.0,100.0,91.82389937106919,100.0,98.42767295597484,98.20754716981132,SF,RB,ACT,RB,9.0,16,0.0,260.7529411764706,84.15697234567199,0.029411764705882353,16.29705882352941,6.256617647058823,361.3294117647059,1.0,True,654.2326055643703,550,0.840679592123883,0.0,0.0,4.217270001891432,0.7936367256049903,7.245694651310259,0.0,0.03468208092485549,0.05645161290322581,0.0,9.043454607276436,4.750796825965355,0.0,0.0,1099.6655567284906,66.79006396924883,609.7757243955009,320.4997006810987,20.03123129256867,344.9099135221426,1,RB1,,11.124347726249262,8.906883566319408,3,1,Elite,54.55003347788137
00-0036223,Jonathan Taylor,RB,2025,IND,17,6,7,2,12.441507261629376,0,0,0,0,0,0,1585,323,18,55,46,-45,434,15,378,2,0,1,0,316.3,362.3,369,378,21.311764705882354,22.235294117647058,21.705882352941178,19.0,3.235294117647059,0.0,2.7058823529411766,1963,20,0.9584656084656085,0.0,0.0,0.0,0.0,4.9071207430340555,0.8363636363636363,6.872727272727273,8.217391304347826,9.434782608695652,-0.8181818181818182,1.1764705882352942,0.8823529411764706,0.41621412241871547,Jonathan Taylor,1999-01-19,70.0,221.0,Wisconsin,5.0,2020.0,IND,41.0,2025-09-01,26.61738535249829,547,442,530,1510.6000000000001,972,0.5530839231547017,383,416,455,147,26,92,0.27735849056603773,0.058823529411764705,0.16819012797074953,0.10377358490566038,0.7307692307692307,0.3888888888888889,98.74213836477988,99.37106918238993,98.11320754716981,75.47169811320755,98.74213836477988,76.41509433962264,91.66666666666667,IND,RB,ACT,RB,6.0,16,0.0,309.9657142857143,50.76130661949094,0.0,19.372857142857143,2.7419327731092435,353.8366386554622,1.0,True,458.05735636912107,530,1.1570603389085288,0.0,0.0,4.7473151316084214,0.7575927578732629,6.082927451230397,0.0,0.04786862334032145,0.036231884057971016,0.0,14.837632025556553,1.8391777760685124,0.0,0.0,1471.504925708384,38.45639827511045,308.7773454960247,316.5454842053017,19.784092762831357,360.7270209052052,1,RB1,,11.124347726249262,8.659745036582095,4,2,Elite,53.190771564326155
00-0039139,Jahmyr Gibbs,RB,2025,DET,17,5,7,3,13.52720570249625,0,0,0,0,0,0,1223,243,13,94,77,54,615,28,616,5,0,1,0,289.90000000000003,366.90000000000003,320,337,21.582352941176474,19.823529411764707,18.823529411764707,14.294117647058824,5.529411764705882,0.0,4.529411764705882,1839,18,1.0887240356083088,0.0,0.0,0.0,0.0,5.032921810699588,0.8191489361702128,6.553191489361702,8.0,7.987012987012987,0.574468085106383,1.0588235294117647,1.6470588235294117,0.3732284084425287,Jahmyr Gibbs,2002-03-20,69.0,200.0,Alabama; Georgia Tech,2.0,2023.0,DET,12.0,2025-09-01,23.45242984257358,582,442,550,1691.48,992,0.568359375,470,275,578,80,167,4,0.14545454545454545,0.3778280542986425,0.006872852233676976,0.1709090909090909,0.5497737556561086,0.3397177419354839,94.9685534591195,94.33962264150944,98.74213836477988,72.32704402515722,98.11320754716981,65.72327044025158,88.9622641509434,DET,RB,ACT,RB,3.0,16,0.0,223.76784313725489,65.4933653841838,0.0,13.98549019607843,4.823137254901961,300.9380392156863,1.0,True,648.0596560302442,550,0.8486873004394091,0.0,0.0,5.249322443811332,0.8036723889435906,6.628641351656036,0.0,0.05710605410047231,0.04868913857677903,0.0,12.778498556142079,3.188815543050148,0.0,0.0,1174.6295611836456,52.63520941826246,434.13203004471876,309.3152531362523,19.33220332101577,289.2612085214387,1,RB1,,11.124347726249262,8.207855594766507,5,3,Elite,50.70537963434042
00-0038542,Bijan Robinson,RB,2025,ATL,17,7,6,2,10.258404015302597,0,0,0,0,0,0,1478,287,7,103,79,101,857,34,820,4,0,2,1,291.8,370.8,366,390,21.811764705882354,22.941176470588236,21.529411764705884,16.88235294117647,6.0588235294117645,0.0,4.647058823529412,2298,11,0.9507692307692308,0.0,0.0,0.0,0.0,5.149825783972125,0.7669902912621359,7.961165048543689,10.379746835443038,10.848101265822784,0.9805825242718447,0.6470588235294118,2.0,0.5296848213048971,Bijan Robinson,2002-01-30,71.0,214.0,Texas,2.0,2023.0,ATL,8.0,2025-09-01,23.586584531143053,545,477,519,1330.22,996,0.5332681017612525,368,317,276,151,160,269,0.2909441233140655,0.33542976939203356,0.4935779816513762,0.19845857418111754,0.6016771488469602,0.39156626506024095,99.37106918238993,98.74213836477988,99.37106918238993,82.38993710691824,99.37106918238993,76.41509433962264,93.67924528301887,ATL,RB,ACT,RB,3.0,16,0.0,261.17647058823525,73.59505281923073,0.0,16.323529411764703,5.311764705882353,346.1647058823529,1.0,True,599.3459129106188,519,0.8659440046559541,0.0,0.0,4.923904529959501,0.7725455332279672,6.908973997140062,0.0,0.03063063063063063,0.03433001107419712,0.0,7.999999999999998,2.526518978290313,0.0,0.0,1286.0080066482458,56.85552932317301,508.4663062462145,299.46207448236095,18.71637965514756,334.77152340746596,1,RB1,,11.124347726249262,7.592031928898297,6,4,Elite,47.318349472065265
00-0036963,Amon-Ra St. Brown,WR,2025,DET,17,4,9,2,10.92920736052765,0,0,0,0,0,0,9,3,0,172,117,1390,570,72,1401,11,0,0,0,207.0,324.0,120,175,19.058823529411764,10.294117647058824,7.0588235294117645,0.17647058823529413,10.117647058823529,0.0,6.882352941176471,1410,11,1.8514285714285714,0.0,0.0,0.0,0.0,3.0,0.6802325581395349,8.145348837209303,11.974358974358974,4.871794871794871,8.081395348837209,0.6470588235294118,4.235294117647059,0.42655393478712944,Amon-Ra St. Brown,1999-10-24,72.0,202.0,USC,4.0,2021.0,DET,112.0,2025-09-01,25.856262833675565,582,442,550,1691.48,992,0.568359375,470,275,578,80,167,4,0.14545454545454545,0.3778280542986425,0.006872852233676976,0.31272727272727274,0.006787330316742082,0.17641129032258066,98.81889763779527,98.4251968503937,98.81889763779527,82.67716535433071,98.4251968503937,85.23622047244095,94.19291338582676,DET,WR,ACT,WR,5.0,16,0.0,2.776470588235294,130.3184311215902,0.01764705882352941,0.17352941176470588,9.597058823529412,156.61176470588236,1.0,True,648.0596560302442,550,0.8486873004394091,0.3,2.1,3.6,0.7299190813531095,8.607469436767598,0.3,0.0,0.06890130353817504,0.08470588235294117,0.0,8.979109779327445,0.0,0.0,9.99529411764706,95.12190952764959,1121.7119129265911,262.52983008450866,16.40811438028179,133.0949017098255,1,WR1,,10.169259972266895,6.238854408014896,7,3,Difference Maker,39.398329230215374
00-0034857,Josh Allen,QB,2025,BUF,16,4,9,1,10.404942335255877,3668,460,319,3359,25,10,579,112,14,0,0,0,0,0,0,0,1,2,0,364.62,364.62,112,112,22.78875,7.0,7.0,7.0,0.0,28.75,0.0,4247,39,3.255535714285714,0.6934782608695652,7.973913043478261,0.05434782608695652,0.021739130434782608,5.169642857142857,0.0,0.0,0.0,0.0,0.0,2.4375,0.0,0.5434175926605945,Josh Allen,1996-05-21,77.0,237.0,Wyoming; Reedley,7.0,2018.0,BUF,7.0,2025-09-01,29.281314168377822,495,547,479,1620.74,1026,0.4750479846449136,479,592,534,74,17,35,0.13381555153707053,0.027914614121510674,0.061511423550087874,0.0,0.20475319926873858,0.10916179337231968,97.5609756097561,97.5609756097561,100.0,67.07317073170732,94.51219512195121,84.14634146341463,90.54878048780489,BUF,QB,ACT,QB,8.0,17,485.09999999999997,114.2125,0.0,30.243014705882352,6.718382352941177,0.0,628.34375,1.0,True,648.5619981325864,479,0.7385569943647506,0.6704102704384299,7.79173988135466,5.090730278597926,0.0,0.0,0.05458248854847188,0.125,0.3,28.062563065536533,14.2765625,0.0,344.67887035334803,4005.9769648757233,581.4250319443656,0.0,0.0,416.29120905161165,24.48771817950657,628.34375,1,QB1,0.98,19.064800919995758,5.422917259510811,13,1,Difference Maker,39.35844538730734
00-0037840,Kyren Williams,RB,2025,LA,17,1,10,1,6.1148264849606715,0,0,0,0,0,0,1252,259,10,50,36,125,155,12,281,3,0,2,0,227.3,263.3,295,309,15.488235294117647,18.176470588235293,17.352941176470587,15.235294117647058,2.9411764705882355,0.0,2.1176470588235294,1533,13,0.8521035598705502,0.0,0.0,0.0,0.0,4.833976833976834,0.72,5.62,7.805555555555555,4.305555555555555,2.5,0.7647058823529411,0.7058823529411765,0.6051954035536217,Kyren Williams,2000-08-26,69.0,199.0,Notre Dame,3.0,2022.0,LAR,164.0,2025-09-01,25.01574264202601,598,465,581,1800.18,1046,0.5625587958607714,682,538,716,15,9,1,0.021520803443328552,0.016453382084095063,0.001394700139470014,0.08605851979345955,0.556989247311828,0.2954110898661568,89.937106918239,89.937106918239,93.71069182389937,89.30817610062893,83.9622641509434,90.25157232704403,90.37735849056605,LA,RB,ACT,RB,4.0,16,0.0,277.4823529411765,46.490815986164826,0.0,17.34264705882353,3.0205882352941176,325.81176470588235,1.0,True,603.9771004159239,581,0.9619570006874417,0.0,0.0,4.653725037019507,0.7483333333333333,5.033333333333333,0.0,0.04297888106706188,0.057939914163090134,0.0,11.925881045267312,2.6936738876104087,0.0,0.0,1291.3265732134364,34.790627296313346,234.00377379702962,275.0409915946263,17.190061974664143,323.9731689273413,1,RB1,,11.124347726249262,6.065714248414881,8,5,Difference Maker,38.92360222940648
00-0032764,Derrick Henry,RB,2025,BAL,17,2,8,2,10.002690814446469,0,1,0,10,0,0,1595,307,16,21,15,12,135,4,150,0,0,3,0,264.5,279.5,322,328,16.441176470588236,19.294117647058822,18.941176470588236,18.058823529411764,1.2352941176470589,0.058823529411764705,0.8823529411764706,1745,16,0.8521341463414634,0.0,0.0,0.0,0.0,5.195439739413681,0.7142857142857143,7.142857142857143,10.0,9.0,0.5714285714285714,0.9411764705882353,0.23529411764705882,0.3916073565452953,Derrick Henry,1994-01-04,75.0,252.0,Alabama,9.0,2016.0,TEN,45.0,2025-09-01,31.65776865160849,422,507,407,1331.1200000000001,914,0.4542518837459634,293,443,370,114,64,52,0.2800982800982801,0.126232741617357,0.12322274881516587,0.051597051597051594,0.6055226824457594,0.3588621444201313,94.33962264150944,95.59748427672956,95.59748427672956,72.95597484276729,92.76729559748428,76.41509433962264,88.49056603773586,BAL,RB,ACT,RB,10.0,16,0.0,288.94117647058823,22.47170949393847,0.06470588235294118,18.058823529411764,1.4294117647058824,312.84705882352944,1.0,True,414.22435681965095,407,0.982559314292577,0.13333333333333333,0.9333333333333333,5.204522067509037,0.7717893217893218,7.392135642135642,0.13333333333333333,0.049511400651465795,0.024691358024691357,0.13803921568627453,14.305882352941175,0.5548570245416906,0.0,0.0,1503.8007291531994,17.343425429773436,166.11392468986045,274.09013492211386,17.130633432632116,311.4128859645267,1,RB1,,11.124347726249262,6.0062857063828545,10,6,Difference Maker,38.596745248230334
